"county","median_cases","median_ratiocases","median_total_population","median_population_density","median_deaths","mean_D_stay_at_home_effective","median_days_stay_at_home_effective","median_mean_temp","median_dewpoint","median_life_expectancy","median_years_of_potential_life_lost_rate","median_age_adjusted_death_rate","median_percent_fair_or_poor_health","median_percent_low_birthweight","median_average_number_of_physically_unhealthy_days","median_percent_adults_with_diabetes","median_num_hiv_cases","median_percent_adults_with_obesity","median_food_environment_index","median_num_food_insecure","median_percent_excessive_drinking","median_percent_uninsured","median_num_primary_care_physicians","median_preventable_hospitalization_rate","median_percentile_rank_social_vulnerability","median_percentile_rank_socioeconomic_theme","median_percentile_rank_below_poverty","median_percentile_rank_unemployed","median_percentile_rank_per_capita_income","median_percentile_rank_no_highschool_diploma","median_percentile_rank_household_comp_disability_theme","median_percentile_rank_age_65_and_older","median_percentile_rank_age_17_and_younger","median_percentile_rank_disabled","median_percentile_rank_single_parent_households","median_percentile_rank_minority_status_and_language_theme","median_percentile_rank_minorities","median_percentile_rank_limited_english_abilities","median_percentile_rank_housing_and_transportation","median_percentile_percentile_rank_multi_unit_housing","median_percentile_rank_mobile_homes","median_percentile_rank_overcrowding","median_percentile_rank_no_vehicle","median_percentile_rank_institutionalized_in_group_quarters"
"Acadia",2247.5,0.0360337972166998,62372,95.205635723508,67.5,0.996124031007752,127.5,24.5555555555556,67.6,75.440695653,9741.6751956,489.58593765,20.890035316,9.5145631068,4.8041919455,11.4,112,38.4,7.8,9430,19.778028886,10.665807234,23,7073,0.9109,0.8711,0.774,0.7752,0.7615,0.9309,0.9226,0.1643,0.907,0.7125,0.9255,0.6084,0.6014,0.5877,0.8236,0.4024,0.7335,0.8357,0.7475,0.4244
"Accomack",1059,0.032032667876588,33060,73.5799036274692,15,0.959839357429719,115,19,54.4,76.215010426,9630.476973,444.06489703,20.08919894,9.8756125141,4.1894585471,15.9,94,36.3,7.9,4630,15.480572436,16.649112857,16,4264,0.8319,0.6991,0.7294,0.5256,0.5737,0.7841,0.4419,0.8138,0.2897,0.2203,0.6358,0.886,0.802,0.8669,0.8787,0.4018,0.767,0.5766,0.8472,0.7081
"Ada",6423,0.0150846175886218,425798,404.551457631519,41,0.954372623574145,119,16.7222222222222,37,80.781476806,5088.3779692,256.64266175,11.474881999,6.5757177921,3.2099499124,7.9,187,25.6,8.1,52080,17.87623376,8.7432917648,428,2677,0.1681,0.1369,0.2795,0.2837,0.1544,0.0366,0.1442,0.1165,0.8211,0.0764,0.4413,0.5807,0.4744,0.6692,0.2521,0.8173,0.1751,0.3381,0.234,0.4527
"Adair",128,0.00501037303793009,25547,45.030735133749,0,0.945525291828794,114,17.6666666666667,54.7,77.531515136,8412.0721659,413.25475724,21.401499805,8.3557951482,4.8086330611,8.4,42,27.9,6.6,4450,18.929940413,10.602460531,26,2032,0.3792,0.6702,0.9185,0.4502,0.837,0.3085,0.0137,0.1964,0.0968,0.1971,0.1067,0.3922,0.3397,0.4753,0.696,0.659,0.3862,0.0825,0.8195,0.9414
"Adams",410,0.00765426654487038,31747,68.6654195029937,9,0.977290524667189,124,18.9444444444444,47.2,78.288202676,7087.0936201,365.58197045,22.300027705,8.7597683581,4.3175848607,11,47,35.3,8.3,7380,16.142726551,11.026551173,29,6027,0.7654,0.8535,0.8586,0.4368,0.8857,0.7752,0.5903,0.4091,0.7781,0.3337,0.8698,0.9452,0.8758,0.923,0.5922,0.7084,0.5259,0.6514,0.6154,0.3362
"Addison",68,0.00184152087959703,36926,48.1856543208545,2,0.981220657276995,104,12.2777777777778,42.8,81.606988547,4188.0399786,222.72064862,9.683870326,6.4397424103,2.8698912078,9,31,25.5,8.7,3730,21.680184872,6.2158494994,42,2760,0.1649,0.0958,0.0872,0.2502,0.1512,0.1238,0.1047,0.4683,0.0793,0.3795,0.4148,0.3337,0.2541,0.4686,0.5705,0.5957,0.3862,0.3563,0.4358,0.8962
"Aitkin",40,0.0025442055718102,15722,8.63023961516231,1,1,137,13.7222222222222,45.8,77.349242833,10287.669345,408.91647457,14.234821762,6.2653562654,3.499348291,14.5,7,29.5,7.7,1680,18.558452285,6.6227693482,13,8597,0.3139,0.3247,0.3161,0.5256,0.3875,0.2066,0.5002,0.9892,0.0481,0.7125,0.277,0.142,0.2053,0.1729,0.4989,0.4425,0.5642,0.6409,0.4537,0.433
"Alachua",2710,0.010561966786317,256581,293.21754757822,14,0.909774436090226,108.5,24.2777777777778,70.85,79.130398872,6823.5713755,344.68866734,17.61444956,9.8970625157,4.1250477362,8.8,970,26.7,6.6,48610,18.676607081,11.865669582,422,5058,0.4871,0.4874,0.8828,0.5256,0.3881,0.1238,0.0143,0.1067,0.071,0.0981,0.3228,0.745,0.7861,0.6164,0.93,0.9755,0.3922,0.4454,0.8071,0.8641
"Alameda",8648,0.00538743359932022,1605217,2171.87426566942,154,0.934545454545455,119,18.5555555555556,47.2,82.87623703,4408.5910489,231.22311113,12.412219044,7.2587957251,3.010286402,6.9,5713,19.4,8.3,198950,19.889669435,5.7827935577,1832,3298,0.5164,0.2961,0.263,0.5425,0.0267,0.4951,0.0328,0.1067,0.3499,0.0535,0.4066,0.9812,0.9608,0.9672,0.9112,0.9828,0.0408,0.9653,0.8991,0.525
"Alamosa",221,0.0135143398764753,16353,22.6315070000501,8,1,125,13.9444444444444,25.4,76.176734491,9380.5366717,424.15941375,22.840436161,10.296096904,4.5328008301,6.4,18,24,8.2,2010,16.539377237,13.191061625,13,2265,0.9834,0.8819,0.9701,0.737,0.9226,0.6635,0.7077,0.1235,0.7752,0.7749,0.6084,0.9067,0.8876,0.8262,0.9987,0.7947,0.7335,0.8984,0.8676,0.8682
