"fips","median_cases","median_ratiocases","median_total_population","median_population_density","median_deaths","mean_D_stay_at_home_effective","median_days_stay_at_home_effective","median_mean_temp","median_dewpoint","median_life_expectancy","median_years_of_potential_life_lost_rate","median_age_adjusted_death_rate","median_percent_fair_or_poor_health","median_percent_low_birthweight","median_average_number_of_physically_unhealthy_days","median_percent_adults_with_diabetes","median_num_hiv_cases","median_percent_adults_with_obesity","median_food_environment_index","median_num_food_insecure","median_percent_excessive_drinking","median_percent_uninsured","median_num_primary_care_physicians","median_preventable_hospitalization_rate","median_percentile_rank_social_vulnerability","median_percentile_rank_socioeconomic_theme","median_percentile_rank_below_poverty","median_percentile_rank_unemployed","median_percentile_rank_per_capita_income","median_percentile_rank_no_highschool_diploma","median_percentile_rank_household_comp_disability_theme","median_percentile_rank_age_65_and_older","median_percentile_rank_age_17_and_younger","median_percentile_rank_disabled","median_percentile_rank_single_parent_households","median_percentile_rank_minority_status_and_language_theme","median_percentile_rank_minorities","median_percentile_rank_limited_english_abilities","median_percentile_rank_housing_and_transportation","median_percentile_percentile_rank_multi_unit_housing","median_percentile_rank_mobile_homes","median_percentile_rank_overcrowding","median_percentile_rank_no_vehicle","median_percentile_rank_institutionalized_in_group_quarters"
"01001",913,0.0165852240730985,55049,92.6055333801792,21,0.954918032786885,110.5,23.6944444444444,65.95,76.879477172,8128.5911903,417.54755051,20.882987328,8.6195286195,4.7438888672,11.1,101,33.3,7.2,7270,15.026031257,8.7216859511,25,7108,0.3773,0.3298,0.2824,0.3298,0.3607,0.4744,0.5568,0.1964,0.8313,0.738,0.32,0.5976,0.6339,0.5355,0.2881,0.6791,0.7268,0.2477,0.3298,0.1251
"01007",357.5,0.0158382066276803,22572,36.2554444767049,2,0.979674796747967,117.5,22.4444444444444,64.5,73.571820279,11977.539484,589.04111681,19.439724157,10.308710033,4.5914824378,14.5,38,37.6,7.8,3240,15.570042367,10.206252586,11,5961,0.5737,0.7393,0.5536,0.5425,0.8819,0.7781,0.1022,0.2585,0.3088,0.4419,0.3266,0.5018,0.645,0.3553,0.6663,0.4072,0.9249,0.0248,0.5645,0.9156
"01011",414.5,0.0392816527672479,10552,16.9426930187977,12,0.963114754098361,112.5,24.1944444444444,66.3,73.530894789,11679.558981,562.24752995,30.999101851,15.688487585,5.3591593432,23.7,56,37.2,4.3,2600,12.094101229,11.440376122,3,6632,0.9363,0.9812,0.9335,0.9599,0.9293,0.9901,0.7265,0.2732,0.362,0.6864,0.9854,0.8341,0.9812,0.5769,0.7144,0.1897,0.9599,0.0169,0.9857,0.7705
"01013",742,0.0365877712031558,20280,26.1061634875127,36,0.959839357429719,116,23.7777777777778,64.2,72.918309203,14359.939103,609.16970743,27.910673184,12.680288462,5.4008061965,19.2,52,43.3,6.6,4160,11.85740343,11.186009539,5,9203,0.9166,0.9067,0.9147,0.8335,0.8803,0.7644,0.9698,0.5845,0.6151,0.7943,0.9147,0.7529,0.8682,0.547,0.5479,0.3088,0.8835,0.4129,0.6705,0.3502
"01015",1062,0.00916441583321108,115883,191.261170368094,6,0.933852140077821,112,22.1111111111111,63.4,73.039108585,12078.616145,574.56384163,23.107733221,9.1613736678,4.8803767403,17.5,220,38.5,6.9,18100,13.842230147,11.929167524,73,6581,0.816,0.8179,0.7348,0.9258,0.659,0.73,0.7876,0.3575,0.4349,0.8469,0.7711,0.5871,0.6676,0.4855,0.6358,0.6052,0.631,0.3706,0.5645,0.6125
"01017",785.5,0.023090716679405,34018,57.0263634811693,34,0.936507936507937,109.5,21.2222222222222,62.85,74.291076031,11112.536614,511.62651724,23.995473603,12.213740458,4.9411783568,19.9,111,40.1,6.4,6070,12.745734617,11.938076809,14,5622,0.8408,0.7689,0.7644,0.5947,0.7122,0.7934,0.7615,0.6151,0.3467,0.689,0.7138,0.5798,0.8402,0.2996,0.8596,0.5845,0.6734,0.8812,0.774,0.3251
"01019",220,0.008495192493339,25897,46.7691504420992,8,0.959839357429719,114,20.3333333333333,60.2,73.998833761,12349.707594,545.23369024,20.698470599,8.2725060827,4.7756141014,15.2,26,35,8.3,3230,14.106562852,11.172649917,10,5521,0.419,0.6008,0.5466,0.3677,0.6351,0.7599,0.7494,0.773,0.2572,0.8905,0.4215,0.1417,0.3005,0.077,0.2518,0.3639,0.9086,0.341,0.1261,0.2776
"01027",182.5,0.0135355633019358,13483,22.3242891000964,4,0.96,115.5,22.2777777777778,64.05,75.237156152,10461.83432,530.99856311,23.795917414,9.3561368209,4.9589695308,13.5,20,40.6,7.8,1940,13.286503658,13.883338091,5,5249,0.5922,0.7275,0.5664,0.4616,0.7434,0.9462,0.8727,0.7011,0.3699,0.5934,0.9156,0.4788,0.5689,0.3992,0.1697,0.0522,0.8669,0.155,0.2038,0.4979
"01029",107,0.00713761590287506,14991,26.7646603791292,1,0.96,115.5,22.2777777777778,64.05,74.766028857,11087.984454,537.92248086,19.284407812,8.5209003215,4.546700394,12.5,15,37.3,8,2020,14.462966516,13.34452371,4,6416,0.6291,0.8262,0.7348,0.5552,0.8379,0.9519,0.6667,0.5944,0.6316,0.9093,0.0977,0.3782,0.2665,0.5275,0.311,0.0952,0.9153,0.4336,0.5193,0.1968
"01031",720,0.014120138848032,50991,75.0987887228696,5,0.991769547325103,119,23.8333333333333,67.9,76.710348557,8175.3623921,429.80914405,19.425826811,8.3085374228,4.4201197865,16.1,65,34.2,7.5,7240,15.183294249,11.99236659,28,4863,0.5266,0.5072,0.5466,0.4094,0.4187,0.6055,0.8507,0.3464,0.6756,0.7233,0.7845,0.7313,0.6877,0.6931,0.1624,0.1668,0.5613,0.3091,0.4877,0.234
"01035",374,0.0294557769551863,12697,14.9348977763205,10,0.987704918032787,118.5,24.8333333333333,67,75.25023311,10822.452428,528.82229203,28.608747789,14.064115822,5.4337528108,25.9,33,43,5.6,2650,12.042707635,12.033455306,5,12070,0.8628,0.9739,0.9761,0.9952,0.9739,0.8255,0.9592,0.773,0.4518,0.8905,0.7453,0.4273,0.8806,0,0.3897,0.1293,0.9401,0.5613,0.6587,0.0344
"01039",740,0.0196135598611148,37729,36.6138932625081,21,0.967871485943775,116,25.7222222222222,67.6,73.994503819,11418.122816,546.12854034,22.668806251,10.345942451,4.6819404519,15.3,49,31.7,7.6,5480,13.500302181,12.103617686,19,9181,0.695,0.8214,0.7042,0.8854,0.6969,0.772,0.8516,0.7676,0.4263,0.8768,0.4629,0.4686,0.5205,0.4323,0.2802,0.1576,0.7488,0.3798,0.3986,0.4024
"01045",773.5,0.0155925575019654,49607,88.4061746916208,18,0.987704918032787,118.5,23.8055555555556,68.25,75.05295351,10467.436009,500.93101771,23.433107031,8.4767923295,5.0212640196,15.8,100,37.2,6.7,7940,14.537961368,9.6988639182,9,5120,0.7463,0.7571,0.7701,0.8698,0.6122,0.5734,0.7832,0.3034,0.6581,0.8739,0.5677,0.639,0.6982,0.5415,0.4572,0.2448,0.717,0.3266,0.5801,0.5915
"01047",1528,0.0368850480374644,41426,42.3278309732924,25,0.933774834437086,139,20.8888888888889,61.2,71.185071339,14717.166071,663.93191481,29.826897822,13.942307692,5.6268779752,15.9,140,43.1,4.6,11100,11.338256451,10.372407688,29,7183,0.9586,0.9704,0.9834,0.9774,0.9386,0.8402,0.9583,0.3346,0.8332,0.7125,0.9771,0.5454,0.9723,0.1086,0.859,0.2171,0.7924,0.9058,0.9768,0.3445
