"state","median_cases","median_ratiocases","median_total_population","median_population_density","median_deaths","mean_D_stay_at_home_effective","median_days_stay_at_home_effective","median_mean_temp","median_dewpoint","median_life_expectancy","median_years_of_potential_life_lost_rate","median_age_adjusted_death_rate","median_percent_fair_or_poor_health","median_percent_low_birthweight","median_average_number_of_physically_unhealthy_days","median_percent_adults_with_diabetes","median_num_hiv_cases","median_percent_adults_with_obesity","median_food_environment_index","median_num_food_insecure","median_percent_excessive_drinking","median_percent_uninsured","median_num_primary_care_physicians","median_preventable_hospitalization_rate","median_percentile_rank_social_vulnerability","median_percentile_rank_socioeconomic_theme","median_percentile_rank_below_poverty","median_percentile_rank_unemployed","median_percentile_rank_per_capita_income","median_percentile_rank_no_highschool_diploma","median_percentile_rank_household_comp_disability_theme","median_percentile_rank_age_65_and_older","median_percentile_rank_age_17_and_younger","median_percentile_rank_disabled","median_percentile_rank_single_parent_households","median_percentile_rank_minority_status_and_language_theme","median_percentile_rank_minorities","median_percentile_rank_limited_english_abilities","median_percentile_rank_housing_and_transportation","median_percentile_percentile_rank_multi_unit_housing","median_percentile_rank_mobile_homes","median_percentile_rank_overcrowding","median_percentile_rank_no_vehicle","median_percentile_rank_institutionalized_in_group_quarters"
"Alabama",573,0.0170981053886861,40958,57.0263634811693,11,0.955034112052925,114,22.7222222222222,64.6,74.657088735,10822.452428,520.53875134,22.394653056,10.04048583,4.8803767403,15.7,78,37.2,7.2,6770,13.836303082,11.459956373,16,5990,0.7421,0.7689,0.7348,0.7163,0.7246,0.7644,0.7679,0.4352,0.4518,0.7125,0.6982,0.5976,0.6877,0.4998,0.4801,0.3461,0.7488,0.3836,0.5801,0.3814
"Arizona",1315,0.0138139406931008,108209,11.1767763237915,50,0.937315198107629,113,23.2777777777778,31.9,78.945901109,8634.6411647,365.93229177,18.912272625,7.1872089413,4.3742188262,11.7,131,30.2,6.2,22590,16.140288289,13.11674912,68,3050,0.9102,0.7985,0.7969,0.8259,0.6807,0.6125,0.6033,0.3575,0.737,0.4308,0.68,0.9077,0.858,0.8701,0.8437,0.4973,0.8348,0.9433,0.4877,0.5014
"California",953.5,0.00458568838647755,270931,136.805354101919,13,0.958071278825996,123,19.1666666666667,47,80.902895316,6149.0383397,304.99817653,15.879866179,6.4151655192,3.7194719894,9.2,391,27.2,8,32530,19.889669435,7.9044018727,264,3359,0.731,0.5871,0.5304,0.8007,0.2311,0.6304,0.3346,0.1643,0.5581,0.185,0.6055,0.9554,0.8984,0.9596,0.7915,0.8348,0.2346,0.9589,0.5801,0.4674
"Colorado",175,0.00499884642005691,26006,22.0916345344856,3,0.967548431507523,121,13.9444444444444,29,80.400819165,6069.4081655,284.94288435,13.356456687,8.7597683581,3.3880017665,6.8,24,23.5,8.1,2830,18.822092814,10.489662677,20,2630,0.3642,0.2964,0.3002,0.3792,0.2579,0.2209,0.2047,0.2401,0.4785,0.1114,0.2789,0.73,0.6183,0.7275,0.5406,0.7947,0.3973,0.6434,0.263,0.4269
"Connecticut",1711,0.00929089633145412,185141,445.265514013869,145,0.968715697036224,121.5,15.8888888888889,50.2,80.432443126,5932.976938,277.66116908,10.678781863,7.5480837726,3.0367753171,9.1,290,26.2,8.2,17070,18.554108781,5.4384862036,116,4231,0.4336,0.2286,0.092,0.6813,0.0423,0.3085,0.128,0.3225,0.2732,0.0907,0.5043,0.7014,0.5145,0.8214,0.5514,0.865,0.0223,0.4429,0.5985,0.71
"Delaware",3172.5,0.0175098473658296,191349,259.050822876183,116,0.974806201550388,122.5,18.5277777777778,58.3,78.1231114805,8018.6215972,371.743946585,18.384712604,8.46702534495,3.9080457729,13,525.5,34.15,8.2,21750,16.5070793785,6.78103318485,111,5166.5,0.59295,0.4271,0.3333,0.60125,0.2679,0.53675,0.4839,0.61815,0.4077,0.36595,0.60585,0.75885,0.7095,0.7186,0.66935,0.77445,0.6407,0.5538,0.40035,0.49175
"Florida",1082,0.0147941445304761,153592,214.316383703134,18,0.941343669250646,113,25.5555555555556,71.3,77.862033422,8713.9277844,411.23684896,19.551459223,8.4197097752,4.2881346303,12.9,328,30.5,7.1,20840,17.252940843,15.446198085,100,5292,0.6905,0.6816,0.6049,0.7291,0.4766,0.5291,0.433,0.5845,0.2136,0.5559,0.4925,0.7326,0.6756,0.7151,0.7224,0.7198,0.7026,0.6151,0.5495,0.5954
"Georgia",364,0.0150749059233841,25584,75.2771260493724,11,0.956559229305423,115,22.8333333333333,64.9,75.648104801,9664.3749719,476.93304674,20.060213238,9.8026734564,3.8856633061,14,48,34.7,7.1,3850,14.756748953,16.260904849,12,5256,0.8153,0.8204,0.7902,0.7291,0.8023,0.772,0.6571,0.3133,0.6864,0.5934,0.7778,0.7265,0.7883,0.6393,0.703,0.3521,0.7924,0.6068,0.7182,0.4846
"Hawaii",422,0.000954408261811815,986999,1643.33982566244,11,0.945386064030132,118,24.6666666666667,66.2,82.475494564,5585.1254309,275.11580578,13.043364161,8.3997285821,3.1005353183,10.4,1579,23.4,8.3,103870,20.448085548,4.1260748609,894,2112,0.461,0.1226,0.1226,0.2588,0.0958,0.2209,0.0449,0.3575,0.369,0.121,0.1745,0.9758,0.9844,0.9255,0.9589,0.9936,0.0032,0.9834,0.8991,0.7453
"Idaho",219,0.00761071782357631,26103,30.1058510307294,2,0.99147674634056,133,14.4444444444444,37.9,78.221022507,7214.4693614,342.90886309,15.331225823,7.3602264685,3.8705627794,9.4,11,31.8,7.8,3520,15.447995324,13.595293129,18,2677,0.5126,0.5059,0.4947,0.3677,0.6759,0.3438,0.5062,0.3684,0.8956,0.361,0.4537,0.5807,0.4906,0.6692,0.3327,0.5113,0.4518,0.7326,0.234,0.3461
